Filename,BPM,Key,Happy,Sad,Relaxed,Aggressive,Danceability
2626740202.mp3,110,A major,0.093,0.952,0.843,0.080,0.133
2626822731.mp3,90,A major,0.519,0.940,0.725,0.037,0.811
2626823779.mp3,99,Bb major,0.528,0.937,0.652,0.049,0.866
2626824317.mp3,100,Ab major,0.681,0.890,0.694,0.016,0.825
2626850178.mp3,75,C major,0.231,0.940,0.750,0.046,0.425
2626850335.mp3,134,E major,0.266,0.956,0.967,0.038,0.587
2626881752.mp3,82,A major,0.384,0.967,0.679,0.050,0.286
2626892539.mp3,74,E minor,0.392,0.962,0.894,0.029,0.379
2626892623.mp3,128,E major,0.444,0.932,0.619,0.179,0.229
2626894911.mp3,100,Bb major,0.167,0.940,0.855,0.136,0.211
2626894932.mp3,90,F major,0.043,0.988,0.904,0.086,0.136
2626895012.mp3,99,F major,0.054,0.989,0.869,0.097,0.139
2626895021.mp3,81,F major,0.225,0.984,0.845,0.067,0.165
2626895824.mp3,120,C major,0.115,0.968,0.883,0.094,0.156
2627013127.mp3,128,Ab major,0.559,0.830,0.677,0.155,0.788
2627047192.mp3,104,A minor,0.098,0.994,0.928,0.042,0.067
2627057395.mp3,101,D major,0.519,0.934,0.688,0.028,0.897
2627058631.mp3,78,E major,0.219,0.974,0.876,0.050,0.099
2627058758.mp3,149,C major,0.606,0.912,0.746,0.023,0.866
2627063781.mp3,128,C major,0.397,0.612,0.606,0.217,0.836
2627073630.mp3,130,C major,0.568,0.927,0.848,0.294,0.755
2627073633.mp3,70,Eb major,0.336,0.984,0.927,0.074,0.844
2627074946.mp3,126,A minor,0.695,0.749,0.845,0.529,0.916
2627078133.mp3,84,D major,0.066,0.994,0.918,0.048,0.554
2627078599.mp3,122,B major,0.620,0.630,0.897,0.664,0.698
2627078601.mp3,122,B major,0.638,0.834,0.877,0.597,0.666
2627079094.mp3,83,Ab major,0.493,0.936,0.740,0.015,0.810
2627079095.mp3,83,Ab major,0.456,0.958,0.687,0.025,0.845
2627085155.mp3,86,C# major,0.360,0.958,0.841,0.036,0.711
2627172649.mp3,73,C minor,0.270,0.976,0.842,0.045,0.096
2627216644.mp3,80,C# major,0.454,0.981,0.834,0.083,0.195
2627288336.mp3,85,Eb major,0.514,0.893,0.865,0.016,0.740
2627297112.mp3,120,E major,0.404,0.953,0.661,0.072,0.571
2627308728.mp3,134,D minor,0.405,0.962,0.782,0.014,0.327
2627319568.mp3,60,Eb minor,0.355,0.734,0.536,0.314,0.622
2627319589.mp3,103,B major,0.275,0.804,0.708,0.234,0.700
2627319678.mp3,146,G major,0.269,0.980,0.758,0.107,0.662
2627329225.mp3,120,C# major,0.479,0.872,0.708,0.059,0.631
2627329234.mp3,120,C# major,0.384,0.907,0.640,0.075,0.630
2627329269.mp3,116,A major,0.050,0.997,0.981,0.062,0.565
2627359850.mp3,78,B major,0.209,0.988,0.620,0.037,0.132
2627410766.mp3,90,Eb major,0.238,0.979,0.822,0.059,0.138
2627412294.mp3,80,C minor,0.082,0.996,0.921,0.053,0.181
2627495249.mp3,140,D major,0.633,0.942,0.482,0.130,0.728
2627530411.mp3,117,D major,0.275,0.980,0.719,0.035,0.120
2627566626.mp3,87,F minor,0.512,0.590,0.517,0.229,0.990
2627596226.mp3,128,D major,0.321,0.941,0.640,0.077,0.761
2627644757.mp3,108,Bb major,0.042,0.995,0.961,0.081,0.147
2627654765.mp3,80,Bb minor,0.468,0.937,0.763,0.024,0.829
2627661424.mp3,99,Bb major,0.064,0.997,0.967,0.067,0.186
2627669078.mp3,103,Bb major,0.512,0.868,0.539,0.065,0.906
2627669117.mp3,73,C major,0.413,0.953,0.834,0.005,0.553
2627669811.mp3,103,Bb major,0.449,0.910,0.512,0.096,0.905
2627713921.mp3,117,C major,0.318,0.791,0.444,0.070,1.000
2627868951.mp3,108,C# major,0.462,0.909,0.538,0.096,0.782
2627923993.mp3,125,Ab minor,0.655,0.198,0.429,0.235,0.990
2627932994.mp3,140,C# major,0.025,0.564,0.603,0.402,1.000
2627933041.mp3,153,Eb major,0.300,0.158,0.398,0.595,1.000
2627947790.mp3,105,E major,0.598,0.940,0.804,0.015,0.412
2627952726.mp3,73,A major,0.314,0.967,0.843,0.014,0.717
2627952727.mp3,146,A major,0.226,0.985,0.794,0.031,0.705
2627961267.mp3,73,C# minor,0.589,0.543,0.545,0.277,0.905
2627969894.mp3,93,Ab minor,0.291,0.993,0.977,0.098,0.295
2627969927.mp3,74,F major,0.207,0.974,0.720,0.051,0.361
2627974411.mp3,74,F major,0.296,0.941,0.763,0.037,0.492
2627979364.mp3,82,Bb major,0.456,0.874,0.928,0.344,0.999
2627979365.mp3,82,Bb major,0.496,0.738,0.959,0.683,1.000
2627979367.mp3,71,B major,0.612,0.728,0.865,0.742,0.864
2627979368.mp3,71,B major,0.564,0.825,0.865,0.807,0.927
2627979975.mp3,85,Ab major,0.444,0.953,0.942,0.019,0.969
2627982213.mp3,86,G major,0.832,0.274,0.589,0.788,0.868
2628057718.mp3,134,C major,0.098,0.987,0.968,0.039,0.096
2628057748.mp3,128,A major,0.065,0.991,0.919,0.078,0.157
2628057749.mp3,87,D major,0.082,0.997,0.959,0.030,0.063
2628057770.mp3,64,C# major,0.092,0.992,0.949,0.059,0.139
2628094133.mp3,80,C major,0.589,0.891,0.535,0.081,0.274
2628106880.mp3,135,G major,0.410,0.977,0.629,0.050,0.219
2628123650.mp3,85,Ab major,0.473,0.844,0.403,0.105,0.859
2628123673.mp3,81,C# minor,0.056,0.985,0.967,0.058,0.079
2628123757.mp3,93,Bb minor,0.231,0.941,0.808,0.118,0.673
2628123842.mp3,114,G major,0.072,0.967,0.904,0.095,0.149
2628123855.mp3,59,C major,0.106,0.992,0.926,0.052,0.062
2628123856.mp3,95,Ab major,0.369,0.794,0.741,0.204,0.871
2628125334.mp3,97,Bb major,0.183,0.883,0.863,0.181,0.478
2628125361.mp3,134,Bb minor,0.545,0.440,0.491,0.140,0.998
2628125369.mp3,130,F major,0.505,0.655,0.734,0.380,0.748
2628125393.mp3,140,A major,0.222,0.967,0.822,0.099,0.551
2628210305.mp3,74,C# major,0.366,0.972,0.722,0.037,0.234
2628232664.mp3,90,A major,0.540,0.966,0.711,0.101,0.130
2628232668.mp3,120,F major,0.531,0.914,0.726,0.133,0.474
2628234365.mp3,100,E major,0.273,0.986,0.737,0.061,0.133
2628285598.mp3,130,F major,0.562,0.800,0.632,0.076,0.685
2628293509.mp3,102,B major,0.264,0.987,0.941,0.014,0.418
2628298559.mp3,97,C major,0.266,0.941,0.745,0.062,0.609
2628303037.mp3,102,B minor,0.317,0.958,0.744,0.154,0.360
2628314425.mp3,129,B minor,0.160,0.979,0.708,0.038,0.083
2628351606.mp3,102,Ab major,0.472,0.873,0.700,0.104,0.997
2628351628.mp3,80,Bb major,0.407,0.956,0.754,0.024,0.598
2628351695.mp3,86,D major,0.364,0.964,0.723,0.069,0.661
2628356866.mp3,80,Ab major,0.450,0.952,0.714,0.018,0.400
2628357011.mp3,138,F major,0.392,0.979,0.834,0.021,0.400
2628357126.mp3,113,G minor,0.584,0.953,0.697,0.057,0.692
2628360219.mp3,84,E major,0.435,0.952,0.794,0.027,0.229
2628360301.mp3,80,Ab major,0.360,0.965,0.683,0.030,0.431
2628360324.mp3,80,F major,0.654,0.862,0.578,0.024,0.892
2628360325.mp3,80,F major,0.533,0.881,0.484,0.067,0.904
2628367712.mp3,97,G major,0.355,0.967,0.837,0.039,0.536
2628451166.mp3,88,C major,0.222,0.996,0.793,0.067,0.789
2628463813.mp3,118,C major,0.146,0.981,0.956,0.026,0.841
2628509876.mp3,89,Bb major,0.159,0.990,0.888,0.034,0.097
2628511445.mp3,90,Bb major,0.106,0.997,0.886,0.048,0.193
2628512145.mp3,91,B major,0.159,0.992,0.897,0.068,0.379
2628513807.mp3,110,F# major,0.385,0.972,0.853,0.073,0.863
2628514439.mp3,110,F# major,0.281,0.994,0.927,0.071,0.999
2628663852.mp3,52,Bb major,0.302,0.986,0.889,0.027,0.071
2628677569.mp3,109,D minor,0.132,0.628,0.650,0.533,0.619
2628805530.mp3,125,A major,0.683,0.372,0.447,0.197,1.000
2628805531.mp3,125,E major,0.645,0.528,0.467,0.065,1.000
2628805540.mp3,126,C# major,0.327,0.603,0.561,0.178,0.999
2628812868.mp3,86,A major,0.565,0.585,0.471,0.108,0.890
2628813761.mp3,123,F# minor,0.448,0.788,0.802,0.120,0.840
2628813770.mp3,86,A minor,0.540,0.689,0.381,0.253,0.999
2628813772.mp3,86,Eb major,0.627,0.582,0.449,0.344,0.998
2628843355.mp3,128,B minor,0.559,0.532,0.657,0.601,0.999
2628850132.mp3,86,F major,0.424,0.865,0.777,0.043,0.459
2628913078.mp3,93,A major,0.592,0.827,0.526,0.066,0.902
2629086365.mp3,79,E major,0.217,0.978,0.867,0.053,0.148
2629087111.mp3,124,C major,0.208,0.982,0.869,0.020,0.460
2629092171.mp3,128,F# major,0.598,0.762,0.571,0.060,0.807
2629092957.mp3,70,C# major,0.357,0.952,0.759,0.025,0.387
2629094343.mp3,122,Eb major,0.310,0.987,0.801,0.021,0.670
2629136688.mp3,133,Bb major,0.341,0.982,0.796,0.051,0.690
2629146997.mp3,100,D major,0.417,0.969,0.554,0.010,0.045
2629217995.mp3,78,G major,0.360,0.983,0.806,0.012,0.047
2629339087.mp3,128,A minor,0.944,0.071,0.470,0.480,1.000
2629346377.mp3,95,F major,0.161,0.984,0.904,0.017,0.303
2629346506.mp3,74,G minor,0.419,0.960,0.752,0.032,0.532
2629346556.mp3,122,B major,0.451,0.974,0.643,0.022,0.831
2629346568.mp3,93,Eb major,0.476,0.961,0.759,0.010,0.450
2629346584.mp3,93,G major,0.394,0.950,0.738,0.032,0.652
2629346855.mp3,84,Ab major,0.542,0.564,0.427,0.115,0.931
2629380176.mp3,114,C minor,0.205,0.976,0.803,0.051,0.309
2629422691.mp3,100,A major,0.206,0.963,0.802,0.084,0.640
2629423033.mp3,128,D minor,0.618,0.259,0.502,0.716,0.921
2629424389.mp3,100,A major,0.374,0.953,0.836,0.022,0.643
2629424833.mp3,71,Ab minor,0.260,0.981,0.644,0.047,0.471
2629424996.mp3,74,E major,0.353,0.939,0.914,0.035,0.568
2629449465.mp3,90,C major,0.231,0.977,0.701,0.035,0.131
2629459023.mp3,120,F major,0.370,0.953,0.671,0.069,0.537
2629466041.mp3,150,A major,0.434,0.924,0.744,0.037,0.684
2629529422.mp3,99,Eb minor,0.152,0.991,0.878,0.091,0.217
2629566894.mp3,74,F major,0.430,0.953,0.741,0.032,0.335
2629627061.mp3,128,C# minor,0.760,0.299,0.551,0.466,1.000
2629643050.mp3,128,A minor,0.631,0.389,0.650,0.347,0.953
2629662370.mp3,128,C# minor,0.584,0.426,0.520,0.629,0.926
2629671975.mp3,135,B minor,0.562,0.853,0.716,0.106,0.475
2629709769.mp3,110,Ab minor,0.510,0.628,0.503,0.505,0.949
2629724535.mp3,106,D major,0.280,0.993,0.791,0.044,0.844
2629728460.mp3,133,F minor,0.392,0.862,0.776,0.148,0.998
2629734235.mp3,134,Ab major,0.282,0.980,0.682,0.051,0.325
2629836325.mp3,75,F major,0.661,0.704,0.881,0.864,0.957
2629924720.mp3,113,G major,0.084,0.985,0.808,0.075,0.979
2629995707.mp3,128,F# minor,0.532,0.401,0.614,0.682,0.768
2630178265.mp3,108,E major,0.413,0.894,0.688,0.051,0.566
2630178794.mp3,144,Ab major,0.209,0.983,0.785,0.032,0.736
2630183679.mp3,95,Eb major,0.337,0.975,0.707,0.049,0.861
2630185581.mp3,108,Eb major,0.459,0.892,0.618,0.119,0.829
2630250500.mp3,90,C# minor,0.689,0.780,0.823,0.092,1.000
2630271326.mp3,146,B minor,0.710,0.844,0.411,0.051,0.991
2630290866.mp3,97,Bb major,0.193,0.970,0.657,0.068,0.781
2630499947.mp3,76,F minor,0.551,0.934,0.912,0.009,0.065
2630500120.mp3,127,F minor,0.373,0.972,0.835,0.037,0.040
2630519665.mp3,128,E major,0.413,0.990,0.873,0.041,0.536
2630540347.mp3,120,Ab minor,0.655,0.773,0.457,0.127,0.446
2630579466.mp3,128,Bb minor,0.958,0.139,0.354,0.829,1.000
2630585495.mp3,96,F# minor,0.717,0.565,0.442,0.109,0.932
2630733184.mp3,105,G major,0.282,0.991,0.911,0.102,0.731
2630870009.mp3,107,C# major,0.536,0.957,0.884,0.026,0.741
2630872207.mp3,76,A major,0.481,0.933,0.685,0.037,0.421
2630872208.mp3,80,E major,0.474,0.843,0.665,0.076,0.507
2630880950.mp3,90,F major,0.127,0.946,0.907,0.083,0.181
2630880951.mp3,90,F major,0.080,0.974,0.880,0.093,0.173
2630903766.mp3,130,Ab major,0.395,0.964,0.790,0.016,0.356
2630956109.mp3,149,A major,0.073,0.994,0.934,0.040,0.109
2631182310.mp3,126,E major,0.174,0.965,0.946,0.034,0.717
2631240003.mp3,103,Bb minor,0.616,0.647,0.595,0.105,0.728
2631243511.mp3,89,Bb major,0.624,0.891,0.547,0.167,0.637
2631254058.mp3,84,E major,0.339,0.993,0.822,0.040,0.763
2631254796.mp3,93,C# major,0.216,0.969,0.909,0.028,0.127
2631255072.mp3,120,Ab major,0.147,0.989,0.957,0.072,0.656
2631256288.mp3,91,F# major,0.083,0.994,0.930,0.054,0.161
2631256525.mp3,77,Eb major,0.252,0.975,0.830,0.051,0.092
2631256573.mp3,120,Ab major,0.329,0.950,0.927,0.025,0.650
2631280103.mp3,87,G minor,0.567,0.720,0.587,0.075,0.804
2631314744.mp3,130,B major,0.569,0.789,0.657,0.048,0.677
2631333648.mp3,90,A major,0.464,0.770,0.482,0.183,0.767
2631351202.mp3,100,A major,0.395,0.932,0.743,0.040,0.918
2631368000.mp3,84,C major,0.089,0.994,0.917,0.053,0.114
2631368001.mp3,84,C major,0.119,0.991,0.906,0.046,0.093
2631368700.mp3,97,C major,0.080,0.994,0.922,0.051,0.093
2631368701.mp3,82,C major,0.083,0.995,0.914,0.048,0.100
2631383282.mp3,67,Eb major,0.387,0.922,0.881,0.025,0.720
2631412393.mp3,133,F# major,0.329,0.942,0.703,0.048,0.271
2631555078.mp3,120,Ab minor,0.442,0.951,0.778,0.023,0.800
2631557409.mp3,82,D major,0.411,0.945,0.654,0.071,0.111
2631888116.mp3,130,F minor,0.101,0.966,0.754,0.089,0.135
2631906039.mp3,124,C major,0.275,0.973,0.767,0.041,0.473
2631907570.mp3,91,B major,0.396,0.967,0.761,0.032,0.398
2631909982.mp3,76,Ab major,0.592,0.837,0.565,0.160,0.717
2631910069.mp3,75,C minor,0.368,0.946,0.808,0.069,0.714
2631926117.mp3,128,F# minor,0.748,0.809,0.464,0.150,0.844
2631926118.mp3,128,G minor,0.686,0.276,0.481,0.298,1.000
2631974484.mp3,90,A minor,0.404,0.927,0.724,0.057,0.595
2631974524.mp3,74,A major,0.321,0.958,0.763,0.038,0.226
2631974525.mp3,74,A major,0.321,0.962,0.759,0.060,0.228
2631974640.mp3,90,Eb major,0.244,0.965,0.820,0.011,0.483
2631974641.mp3,91,Eb major,0.076,0.989,0.870,0.040,0.329
2631974769.mp3,134,F major,0.559,0.771,0.511,0.044,0.901
2631974770.mp3,134,F major,0.427,0.796,0.460,0.057,0.903
2631979157.mp3,90,A minor,0.271,0.966,0.647,0.064,0.501
2631979244.mp3,91,F major,0.116,0.996,0.918,0.043,0.167
2631979393.mp3,104,G major,0.357,0.964,0.862,0.057,0.411
2632089200.mp3,130,D major,0.314,0.971,0.881,0.020,0.221
2632152106.mp3,112,D major,0.517,0.911,0.689,0.088,0.374
2632199601.mp3,78,C# major,0.411,0.961,0.703,0.014,0.783
2632226449.mp3,116,G major,0.170,0.977,0.782,0.027,0.067
2632228193.mp3,81,Eb major,0.062,0.982,0.885,0.110,0.132
2632249530.mp3,120,D major,0.550,0.973,0.682,0.023,0.611
2632567270.mp3,66,B major,0.285,0.984,0.785,0.057,0.318
2632590706.mp3,93,E minor,0.228,0.968,0.813,0.084,0.409
2632792864.mp3,73,Bb major,0.365,0.959,0.722,0.026,0.501
2632793137.mp3,155,F major,0.311,0.828,0.576,0.126,0.866
2632798436.mp3,120,A minor,0.475,0.938,0.683,0.092,0.577
2632833574.mp3,126,B major,0.878,0.512,0.351,0.229,1.000
2632833594.mp3,112,F# major,0.351,0.974,0.813,0.027,0.239
2633001769.mp3,136,D minor,0.391,0.867,0.899,0.180,0.570
2633272325.mp3,110,B minor,0.043,0.988,0.937,0.070,0.167
2633272386.mp3,110,G major,0.492,0.911,0.655,0.151,0.315
2633272847.mp3,120,G minor,0.644,0.883,0.782,0.218,0.958
2633275561.mp3,120,G minor,0.438,0.798,0.639,0.109,0.575
2633275668.mp3,80,G minor,0.055,0.996,0.930,0.047,0.167
2633539475.mp3,128,A major,0.373,0.966,0.791,0.027,0.952
2633540315.mp3,77,C# minor,0.392,0.952,0.762,0.051,0.649
2633857574.mp3,74,E major,0.283,0.973,0.774,0.063,0.266
2634503968.mp3,122,F# major,0.259,0.992,0.771,0.041,0.587
2634876311.mp3,124,A minor,0.653,0.777,0.743,0.492,0.826
2635124453.mp3,134,E major,0.110,0.964,0.798,0.120,0.469
2635135550.mp3,132,Bb major,0.365,0.356,0.663,0.177,0.999
2635282513.mp3,72,C major,0.296,0.978,0.824,0.020,0.412
2635352423.mp3,156,B minor,0.512,0.543,0.438,0.293,0.913
